age_year,domain,parent_learning_goal,skill_name,why_it_matters,how_to_teach,parent_dos,parent_donts,parent_tip
11-12,"academic support, study skills & critical thinking",Help the child understand cause-and-effect relationships.,Explaining why an answer works,Cause-and-effect reasoning deepens understanding.,Ask what caused the result and why.,"['Ask why questions', 'Encourage explanations']","['Accept guesses', 'Skip reasoning']",Knowing why strengthens learning.
11-12,"academic support, study skills & critical thinking",Support focused revision sessions.,Setting a clear goal for each study session,Clear goals improve efficiency.,Ask what they plan to finish before starting.,"['Encourage goal-setting', 'Review outcomes']","['Allow vague goals', 'Interrupt sessions']",Clear goals guide effort.
11-12,"academic support, study skills & critical thinking",Encourage learning through mistakes.,Keeping a list of common errors,Tracking errors prevents repetition.,Note repeated mistakes and review weekly.,"['Encourage tracking', 'Focus on patterns']","['Shame errors', 'Ignore patterns']",Patterns reveal priorities.
11-12,"academic support, study skills & critical thinking",Support effective use of textbooks.,Using examples in textbooks effectively,Examples clarify abstract ideas.,Study worked examples before attempting problems.,"['Encourage example study', 'Discuss steps']","['Skip examples', 'Copy blindly']",Examples guide understanding.
11-12,"academic support, study skills & critical thinking",Encourage flexible thinking in academics.,Trying alternate methods when stuck,Flexibility prevents frustration and stagnation.,Ask what another way might look like.,"['Encourage alternatives', 'Normalize stuck moments']","['Insist on one method', 'Show impatience']",Flexibility unlocks progress.
11-12,"academic support, study skills & critical thinking",Help the child manage note overload.,Highlighting key ideas in notes,Key ideas support faster revision.,Teach selective highlighting after understanding.,"['Encourage restraint', 'Review highlights']","['Highlight everything', 'Skip understanding']","Less highlight, more insight."
11-12,"academic support, study skills & critical thinking",Support confident answering during assessments.,Attempting all questions strategically,Attempting questions maximizes scoring opportunities.,Teach starting with confident questions first.,"['Encourage attempts', 'Teach strategy']","['Leave blanks easily', 'Create fear']",An attempt is a chance.
11-12,"academic support, study skills & critical thinking",Encourage thoughtful review of feedback.,Using teacher comments to improve,Feedback guides targeted improvement.,Identify one action from each comment.,"['Focus on actions', 'Stay constructive']","['Ignore feedback', 'Take comments personally']",Feedback works when applied.
11-12,"academic support, study skills & critical thinking",Support efficient use of study time.,Batching similar tasks together,Batching reduces switching fatigue.,Group similar subjects or task types.,"['Encourage grouping', 'Review efficiency']","['Switch constantly', 'Overpack sessions']",Grouping saves energy.
11-12,"academic support, study skills & critical thinking",Encourage critical reading skills.,Identifying main arguments in a text,Main ideas support comprehension and analysis.,Ask what the author is trying to say.,"['Encourage summarizing', 'Discuss intent']","['Focus only on details', 'Skip discussion']",Main ideas anchor understanding.
11-12,"academic support, study skills & critical thinking",Support confidence in math problem-solving.,Showing working clearly,Clear working earns marks and reveals thinking.,Teach writing each step neatly.,"['Encourage neat steps', 'Review logic']","['Skip steps', 'Focus only on answers']",Clear steps show clear thinking.
11-12,"academic support, study skills & critical thinking",Help the child manage academic setbacks.,Replanning after a poor result,Replanning restores direction and confidence.,Adjust strategies based on results.,"['Stay solution-focused', 'Encourage resilience']","['Dwell on failure', 'Remove support']",Setbacks guide adjustments.
11-12,"academic support, study skills & critical thinking",Encourage thoughtful use of diagrams and visuals.,Using diagrams to explain concepts,Visuals support deeper understanding.,Draw simple diagrams while explaining.,"['Encourage visuals', 'Discuss labels']","['Overcomplicate drawings', 'Ignore accuracy']",Visuals make ideas visible.
11-12,"academic support, study skills & critical thinking",Support realistic self-evaluation.,Rating confidence in topics,Self-rating guides focused revision.,Use a simple confidence scale per topic.,"['Encourage honesty', 'Target weak areas']","['Overestimate strengths', 'Ignore ratings']",Awareness directs effort.
11-12,"academic support, study skills & critical thinking",Encourage efficient exam strategies.,Managing time during tests,Time management improves completion rates.,Practice timed sections during revision.,"['Teach pacing', 'Review timing']","['Ignore clocks', 'Panic about time']",Pacing protects performance.
11-12,"academic support, study skills & critical thinking",Support disciplined homework routines.,Completing homework before leisure,Priority habits reduce conflict and delay.,Agree on work-then-play structure.,"['Be consistent', 'Allow flexibility occasionally']","['Negotiate daily', 'Use punishment']",Priorities create freedom.
11-12,"academic support, study skills & critical thinking",Encourage independent checking of understanding.,Asking oneself if the answer makes sense,Self-checking builds independent learners.,Teach quick sense-check questions.,"['Encourage self-questioning', 'Praise independence']","['Provide all checks', 'Ignore errors']",Sense-checking saves mistakes.
11-12,"academic support, study skills & critical thinking",Help the child approach unfamiliar problems with confidence.,Attempting unfamiliar problems without fear,Confidence encourages exploration and learning.,Encourage trying even without full certainty.,"['Praise effort', 'Normalize uncertainty']","['Discourage attempts', 'Demand perfection']",Trying is learning.
11-12,"academic support, study skills & critical thinking",Support effective use of class time.,Listening for key instructions in class,Key instructions guide accurate work.,Teach noting deadlines and requirements immediately.,"['Encourage attention', 'Review instructions']","['Assume understanding', 'Ignore confusion']",Instructions set direction.
