age_month_range,domain,activity,goal,materials_needed,difficulty_level,duration_minutes,indoor_outdoor
52-54,montessori sensorial and academic,"Identify objects by smell (fruits, spices)",Enhance sensory discrimination and observation,"['Fruits, spices, scent containers']",medium,15,indoor
52-54,montessori sensorial and academic,Practice counting in sequence while walking or hopping,Combine physical activity with numerical learning,['Number markers or cards'],medium,15,both
52-54,montessori sensorial and academic,"Sort objects by function (tools, toys, utensils)",Develop categorization and reasoning skills,['Objects of different functions'],medium,15,indoor
52-54,montessori sensorial and academic,Match picture cards to real-life objects,"Enhance observation, memory, and recognition skills","['Picture cards, real objects']",medium,15,indoor
52-54,montessori sensorial and academic,Sort coins by size and color,Develop fine motor skills and cognitive recognition,['Coins or similar tokens'],medium,15,indoor
52-54,montessori sensorial and academic,Match shapes or patterns to real-world objects,"Enhance observation, shape recognition, and logic","['Shape cards, household objects']",medium,15,indoor
52-54,montessori sensorial and academic,Use number rods to count and compare lengths,"Develop counting, comparison, and measurement skills",['Number rods or blocks'],medium,20,indoor
52-54,montessori sensorial and academic,Identify letters in simple words,Enhance early reading and letter recognition,"['Word cards, sandpaper letters']",medium,20,indoor
52-54,montessori sensorial and academic,Match numbers to dots on cards,Reinforce counting and number recognition,"['Number cards, dot cards']",medium,15,indoor
52-54,montessori sensorial and academic,Trace numbers using sand or playdough,Develop fine motor skills and number formation,"['Sand tray, number templates, playdough']",medium,15,indoor
52-54,montessori sensorial and academic,Sequence events in a simple story using cards,Develop understanding of order and narrative skills,['Story cards'],medium,20,indoor
52-54,montessori sensorial and academic,Identify missing numbers in a sequence,Enhance number sense and pattern recognition,['Number cards or printed sheets'],medium,20,indoor
52-54,montessori sensorial and academic,Match letters to beginning sounds of objects,Develop phonetic awareness and early reading skills,"['Letter cards, object cards or real objects']",medium,20,indoor
52-54,montessori sensorial and academic,Sort objects by length using rulers or sticks,Enhance measurement and classification skills,"['Rulers, sticks, objects of different lengths']",medium,20,both
52-54,montessori sensorial and academic,Match shapes in puzzles to their outlines,Develop shape recognition and problem-solving skills,['Shape puzzles'],medium,20,indoor
52-54,montessori sensorial and academic,Count steps or objects during a walk,Combine physical activity with counting skills,"['Outdoor space, optional counter cards']",medium,15,outdoor
52-54,montessori sensorial and academic,"Group objects into sets of 2, 3, or 4","Develop counting, grouping, and logical thinking","['Counters, blocks, or objects']",medium,15,indoor
52-54,montessori sensorial and academic,Trace letters in the air using fingers,Enhance kinesthetic learning and letter formation,['Open space'],easy,10,indoor
52-54,montessori sensorial and academic,Identify objects by touch in a mystery bag,Develop tactile discrimination and observation,"['Bag, small objects']",medium,15,indoor
52-54,montessori sensorial and academic,Match numbers to quantities using beads,Reinforce counting and numerical understanding,"['Beads, number cards, trays']",medium,20,indoor
52-54,montessori sensorial and academic,Arrange objects from lightest to heaviest,Develop understanding of weight and comparison,"['Balance scale, objects of varying weights']",medium,20,indoor
52-54,montessori sensorial and academic,Identify missing objects in a series,Enhance observation and logical thinking,"['Objects, cards or pictures']",medium,15,indoor
52-54,montessori sensorial and academic,"Sort pictures by category: animals, plants, objects",Develop categorization and observation skills,['Picture cards'],medium,15,indoor
52-54,montessori sensorial and academic,Trace numbers and letters using stencil templates,Enhance fine motor skills and accuracy,"['Stencils, pencils, paper']",medium,20,indoor
52-54,montessori sensorial and academic,Match shadows to real objects,Develop visual discrimination and cognitive skills,['Objects and shadow cards'],medium,20,indoor
52-54,montessori sensorial and academic,Identify opposites using picture cards,Enhance vocabulary and conceptual understanding,['Picture cards showing opposites'],medium,15,indoor
52-54,montessori sensorial and academic,"Group objects by texture, shape, or color",Promote classification and observation skills,"['Various objects with different textures, shapes, colors']",medium,15,indoor
52-54,montessori sensorial and academic,Arrange numbered cards in ascending order,Develop counting and sequence recognition skills,['Number cards'],medium,15,indoor
52-54,montessori sensorial and academic,Trace simple shapes and letters in playdough,Enhance creativity and fine motor skills,"['Playdough, shape and letter templates']",medium,15,indoor
52-54,montessori sensorial and academic,"Match sounds to objects (bells, claps, rattles)",Develop auditory discrimination and memory,"['Bells, rattles, clapping sounds']",medium,15,indoor
52-54,montessori sensorial and academic,Identify and sort coins or tokens by size and color,Enhance fine motor skills and categorization,['Coins or tokens of different sizes/colors'],medium,15,indoor
52-54,health and safety,Wash hands thoroughly before meals,Develop hygiene habits and prevent illness,"['Soap, water, towel']",easy,5,indoor
52-54,health and safety,Brush teeth independently twice a day,Promote dental hygiene and routine independence,"['Toothbrush, toothpaste, cup']",medium,5,indoor
52-54,health and safety,Practice safe crossing on the street with adult supervision,Teach road safety awareness,"['Adult supervision, crosswalk']",medium,10,outdoor
52-54,health and safety,Identify safe and unsafe foods,Develop awareness of healthy eating,"['Food items, pictures']",medium,15,indoor
52-54,health and safety,Cover mouth and nose when sneezing or coughing,Prevent spread of germs and promote hygiene,"['Tissue, handkerchief']",medium,5,indoor
52-54,health and safety,Wear a helmet while riding a bicycle,Promote safety during physical activity,"['Helmet, bicycle']",medium,15,outdoor
52-54,health and safety,"Identify danger signs in the environment (hot stove, sharp objects)",Increase safety awareness,['Safe environment with adult guidance'],medium,15,indoor
52-54,health and safety,Practice washing fruits and vegetables before eating,Promote food hygiene,"['Fruits, vegetables, water, sink']",medium,10,indoor
52-54,health and safety,Learn emergency contact numbers with adult help,Develop basic safety knowledge,"['Phone, adult guidance']",medium,10,indoor
52-54,health and safety,Practice wearing appropriate clothing for weather,Understand weather safety and self-care,['Clothes suitable for weather'],medium,10,both
52-54,health and safety,Practice proper posture while sitting and standing,Promote physical health and body awareness,"['Chair, mat']",easy,10,indoor
52-54,health and safety,Drink water regularly throughout the day,Encourage hydration and healthy habits,"['Cup, water']",easy,5,indoor
52-54,health and safety,Practice hand sanitizer use when soap is not available,Develop hygiene awareness,['Hand sanitizer'],easy,5,indoor
52-54,health and safety,Identify safe play areas in the home and outside,Promote environmental safety awareness,['Home and outdoor space guidance by adult'],medium,15,both
52-54,health and safety,Practice cleaning up toys after play,Promote organization and safety,"['Toys, storage bins']",easy,10,indoor
52-54,health and safety,Practice wearing shoes correctly before going outside,Encourage independence and safety,['Shoes'],easy,5,both
52-54,health and safety,Learn to safely pour liquids,Develop motor skills and safety awareness,"['Cups, water or juice, tray']",medium,10,indoor
52-54,health and safety,Practice safe stair climbing with adult supervision,Increase awareness of hazards and develop coordination,"['Stairs, adult supervision']",medium,10,both
52-54,health and safety,Practice safe use of scissors under supervision,Develop fine motor skills and safety habits,"['Child-safe scissors, paper']",medium,15,indoor
52-54,health and safety,Learn to apply sunscreen with help,Promote sun safety and personal care,"['Sunscreen, adult supervision']",medium,10,outdoor
52-54,health and safety,Practice using a tissue when sneezing or wiping nose,Encourage hygiene habits,"['Tissue, handkerchief']",easy,5,indoor
52-54,health and safety,Identify emergency exits in the home or school,Develop safety awareness,"['Adult guidance, floor plan or walkthrough']",medium,15,both
52-54,health and safety,Practice safe climbing on playground equipment,Promote physical coordination and safety,"['Playground equipment, adult supervision']",medium,20,outdoor
52-54,health and safety,Learn to tie shoelaces or fasten shoes safely,Develop independence and fine motor skills,"['Shoes, laces']",medium,15,indoor
52-54,health and safety,Identify safe and unsafe household items,Increase awareness of hazards,"['Adult guidance, household items']",medium,15,indoor
