age_range,domain,activity,goal
11-12,creativity / imagination,Compose a short rap or song about a personal or social theme.,Enhance musical creativity and expressive skills.
11-12,creativity / imagination,Write a science fiction story set on another planet.,"Develop imagination, storytelling, and creative writing skills."
11-12,creativity / imagination,Build a model demonstrating a scientific principle creatively.,Combine scientific understanding with hands-on creativity.
11-12,creativity / imagination,Create a storyboard for a short animated or live-action video.,"Enhance planning, visual storytelling, and creative thinking."
11-12,creativity / imagination,Write a dialogue between two fictional characters resolving a conflict.,Develop narrative creativity and understanding of social dynamics.
11-12,creativity / imagination,Design a creative science project presentation with models or visuals.,"Encourage creativity, presentation skills, and scientific thinking."
11-12,creativity / imagination,"Draw or paint a scene from a story you read, adding your own twist.",Enhance artistic expression and imaginative interpretation.
11-12,creativity / imagination,Invent a new sport or physical activity with rules and scoring.,"Promote creative thinking, planning, and problem-solving."
11-12,creativity / imagination,Create a stop-motion animation using clay or paper figures.,"Combine patience, creativity, and digital storytelling skills."
11-12,creativity / imagination,Write a monologue for a character experiencing a dilemma.,Develop creative writing and empathetic thinking.
11-12,creativity / imagination,Design a board game incorporating mathematical or scientific concepts.,"Integrate creativity, strategy, and academic thinking."
11-12,creativity / imagination,Create an illustrated timeline of historical events with a creative twist.,"Combine creativity, history knowledge, and visual skills."
11-12,creativity / imagination,Compose a song or poem highlighting a social or environmental issue.,Encourage creative expression and awareness of important topics.
11-12,creativity / imagination,Build a miniature theatre set or diorama for a short play.,"Develop spatial creativity, artistic skills, and imagination."
11-12,creativity / imagination,Write a story inspired by a piece of artwork or photograph.,"Enhance creativity, observation, and narrative skills."
11-12,creativity / imagination,Design a creative infographic explaining a concept learned in class.,Combine visual creativity and academic understanding.
11-12,creativity / imagination,Create a fictional diary of an imaginary character in a historical period.,"Encourage imaginative thinking, writing, and historical perspective."
11-12,creativity / imagination,Create a graphic novel page with dialogue and illustrations.,"Develop storytelling, illustration, and creative thinking."
